"Recently Ordered Products","Recently Ordered Products"
"Recently Ordered","Recently Ordered"
"List of Products Recently Ordered by Customer","List of Products Recently Ordered by Customer"
"Number of Products to display","Number of Products to display"
"Search Days Period","Search Days Period"
"Frequently Ordered Products","Frequently Ordered Products"
"Frequently Ordered","Frequently Ordered"
"List of Products Frequently Ordered by Customer","List of Products Frequently Ordered by Customer"
"Number of Products to display","Number of Products to display"
"Product attributes to show","Product attributes to show"
Image,Image
"Learn More Link","Learn More Link"
"Buttons to show","Buttons to show"
"Add to Wishlist","Add to Wishlist"
"Add To Cart","Add To Cart"
"Add To Compare","Add To Compare"
"Learn more","Learn more"
Template,Template
"Grid Template","Grid Template"
"List Template","List Template"
